LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_PAID,AUGUST_PAID,JULY_PAID,JUNE_PAID,MAY_PAID,APRIL_PAID,DEFAULTED
10000,2,2,3,44,9,9,9,11,11,11,1275,0,0,0,0,0,0
160000,2,3,2,24,9,9,11,11,11,11,0,0,0,0,0,0,0
50000,2,1,3,42,9,9,9,9,9,9,2009,1180,1000,1000,348,1000,0
130000,1,2,2,33,8,7,7,9,9,9,5012,0,4000,5000,4000,2106,0
140000,2,3,2,28,9,9,9,9,9,9,6600,7000,5300,6000,5500,5500,1
80000,2,2,2,45,9,9,11,11,11,11,0,8000,0,0,0,0,0
500000,2,3,2,31,11,11,11,10,9,10,2000,5000,37223,0,80583,10155,1
500000,2,2,3,39,9,9,9,9,9,9,4585,3789,3942,2433,10000,762,0
320000,2,2,3,35,9,9,9,7,9,9,1073,1789,0,3425,1000,3425,0
50000,1,2,2,29,8,7,9,9,9,9,0,1900,1333,0,999,0,0
120000,2,2,2,40,9,9,9,11,11,11,1000,0,0,0,0,0,0
500000,1,3,3,59,11,11,11,11,11,11,0,994,3342,1240,700,2250,1
290000,2,2,3,42,11,10,10,10,9,9,18496,2429,4598,7,3227,1,0
280000,1,3,3,50,10,10,10,9,9,11,348,4399,18,0,0,0,0
30000,2,1,3,41,9,9,9,9,9,9,1618,2000,1500,1500,2000,1248,1
80000,1,3,2,31,8,7,7,7,7,7,0,2500,0,2000,0,1000,1
50000,1,2,2,24,9,9,9,7,9,9,3700,5396,6,1003,1449,1022,0
10000,1,1,2,24,8,7,7,7,7,7,1200,0,900,0,2000,0,0
550000,1,3,3,49,10,10,10,10,10,11,1522,1495,18426,0,0,22670,1
60000,1,2,2,41,9,10,10,10,10,10,6750,5784,5246,3760,11411,7435,0
140000,2,2,3,28,9,9,9,10,10,10,2000,0,150,1550,106155,3500,0
50000,2,2,2,28,9,9,9,9,9,9,1442,1403,1000,919,2000,1000,0
300000,2,2,3,27,9,9,9,9,9,9,20000,12003,10524,11238,8814,9463,1
30000,2,1,3,29,7,7,7,7,7,9,2500,2670,2000,0,1000,1000,1
50000,2,2,2,25,8,11,11,11,11,11,0,0,0,0,0,7700,1
250000,2,2,3,33,7,7,11,11,11,11,0,0,0,0,0,0,1
60000,1,3,2,39,9,9,9,9,9,9,2050,2053,2219,2200,2394,1890,0
80000,1,1,2,44,7,9,9,9,7,7,2800,2200,4700,2600,0,4400,0
480000,1,3,2,33,8,11,11,11,11,11,0,0,0,0,0,0,0
30000,1,2,3,44,8,6,7,7,7,7,0,0,1800,0,1910,780,1
10000,2,2,2,25,9,9,9,9,9,9,1185,1030,1000,1000,2000,2000,0
410000,2,3,2,41,11,11,11,10,10,10,0,0,150,150,1929,136869,0
100000,1,3,3,33,9,9,7,7,7,7,5000,3000,2000,1800,1600,2000,0
200000,1,1,3,41,9,9,9,9,9,9,2544,1433,3224,775,5000,2000,0
380000,2,2,3,48,9,9,9,9,9,9,15504,14000,12500,12000,11000,14000,0
100000,1,2,2,27,9,9,9,9,7,9,2000,2500,4900,0,1763,2000,0
50000,2,1,3,27,9,9,9,7,9,9,1754,2900,0,1265,832,500,1
130000,2,2,3,28,9,9,9,9,9,7,4000,4000,8000,6000,0,2500,1
120000,1,2,2,34,9,9,9,9,9,7,3000,1944,5000,3692,0,2000,0
150000,2,2,3,42,9,9,9,9,9,7,6022,5022,5100,10500,0,10000,0
310000,2,3,3,39,10,10,10,10,10,7,4566,5433,5724,1336,0,3167,0
110000,2,2,2,51,11,11,11,10,10,10,0,0,3007,857,100000,1000,0
420000,1,2,3,37,9,9,9,9,9,9,16850,15522,14000,14500,18007,12733,1
140000,1,2,3,28,10,10,10,7,10,10,7340,7983,0,2964,4800,2353,1
500000,2,3,3,37,8,11,11,11,11,11,0,0,0,0,0,0,1
260000,2,2,2,26,9,9,7,7,9,9,45446,9000,0,9394,9628,8539,0
90000,2,2,3,48,10,10,10,10,10,10,316,316,316,316,316,316,1
90000,2,2,2,41,10,9,9,9,9,9,2281,1219,1164,556,595,480,0
20000,1,1,2,35,10,6,7,9,9,9,0,0,4000,7000,0,0,0
30000,1,2,2,36,9,9,9,9,9,9,2500,2215,1156,1200,3000,3000,1
140000,2,2,3,36,9,9,9,9,9,9,2100,2100,1900,2000,2000,2100,0
340000,2,2,2,32,9,9,9,9,9,9,3871,3136,3014,3123,3168,4855,0
120000,2,3,2,31,11,11,11,11,11,11,0,0,0,0,0,0,0
420000,1,3,3,34,10,9,9,9,11,11,3048,3016,0,0,0,3262,0
100000,1,1,3,48,11,11,11,11,11,11,0,0,0,0,0,0,0
350000,2,2,2,37,9,9,9,9,9,9,4052,1700,1500,2000,500,2000,0
50000,1,2,3,26,9,9,9,9,9,9,1769,1003,189,120,100,3710,0
30000,2,3,2,28,7,7,5,5,5,5,0,0,0,0,0,0,0
360000,2,3,2,29,10,10,10,9,10,10,4534,14697,0,2141,1272,24078,0
20000,2,1,2,23,10,10,10,9,9,10,1165,19325,386,369,400,5125,0
400000,2,2,2,38,9,9,9,9,10,10,1222,1000,1200,186,1200,0,0
170000,1,1,3,45,9,9,9,9,9,9,5000,2000,2000,3000,2000,2000,0
110000,2,2,3,36,8,7,9,9,7,7,0,5000,5000,0,5000,0,1
200000,2,2,3,37,10,10,10,10,10,11,31638,770,2118,0,0,0,1
200000,2,3,3,32,11,11,11,11,11,11,17301,3009,26257,15643,5696,12149,0
360000,1,3,2,29,10,10,10,10,10,10,6159,1870,969,2500,0,0,0
500000,1,3,3,37,10,10,10,10,10,10,1188,0,300,6805,0,0,0
20000,1,2,2,22,9,9,9,9,10,10,1510,3875,759,10000,19126,1946,0
270000,1,1,3,32,6,7,9,9,9,9,0,7100,5500,6000,6000,5100,0
20000,1,2,2,44,8,7,9,9,9,9,0,1500,1000,1000,1000,1000,1
350000,2,3,3,43,11,11,11,11,11,10,0,0,0,0,1146,54269,0
150000,2,2,3,26,9,9,10,10,11,11,10000,5250,0,0,0,0,0
260000,2,3,2,30,9,9,9,9,10,10,14038,5018,10000,3154,13603,9189,0
90000,1,3,2,33,10,10,7,10,10,7,721,0,2833,1000,0,2000,0
310000,2,2,3,32,9,9,9,9,9,9,6100,4252,5000,2780,4881,3000,0
210000,2,3,2,43,8,10,9,9,9,9,184212,5482,3493,3590,3815,3876,0
40000,2,2,3,45,8,7,9,9,9,9,0,1200,500,500,500,500,1
80000,2,2,3,25,8,11,11,11,10,10,0,0,0,13369,0,0,0
50000,1,1,2,22,9,9,9,9,10,10,1056,1000,40,1377,1080,382,1
370000,2,3,3,46,10,10,10,9,9,10,1572,166235,3372,4018,600,600,0
130000,1,2,2,28,9,9,9,9,9,9,5847,3413,3872,3465,3627,5000,0
710000,2,2,3,40,11,11,11,10,7,9,0,0,1004,0,8000,5000,1
180000,2,1,2,24,8,10,10,10,11,10,35300,1000,0,0,1245,0,0
80000,2,2,3,30,9,9,9,9,9,7,3000,1800,3000,6000,2900,2000,0
560000,2,3,2,32,9,9,9,9,9,9,1548,1446,14720,427,1000,300,0
170000,2,3,2,26,9,9,9,9,9,9,4000,2006,1000,1000,1000,1000,0
30000,2,1,3,63,10,10,10,9,10,10,5884,11146,0,8092,1565,2620,0
430000,2,3,2,30,10,10,10,10,10,10,7232,4723,2035,41784,26108,37216,0
500000,2,2,3,37,10,10,10,10,10,10,355,355,1204,2378,6344,14889,0
10000,1,2,2,26,9,9,9,9,9,9,2000,2000,1000,0,0,0,1
130000,2,3,2,25,9,9,9,9,9,9,4000,4000,2500,236,1700,74,0
160000,2,2,2,50,11,11,11,11,11,11,13333,13333,13333,26663,0,11913,0
150000,1,3,2,33,8,7,7,7,9,9,0,7400,0,3300,7000,0,1
340000,2,2,3,43,11,11,11,11,11,11,249,27477,0,0,24272,11008,0
200000,2,2,3,37,9,9,9,9,9,9,8017,8000,8000,9000,7000,6000,0
130000,1,2,2,37,9,9,9,9,9,9,6500,5000,5000,5000,6000,5000,0
320000,2,1,3,30,9,9,9,9,9,9,2825,2961,1600,1579,1692,1068,0
50000,1,1,3,54,7,9,9,10,9,9,3000,4000,53083,1268,708,664,0
360000,1,3,3,46,10,10,10,10,9,9,1068,91679,45086,2223,2091,9890,0
420000,2,2,2,29,9,9,9,9,9,11,18000,18691,5027,3000,3068,175056,0
110000,1,3,2,30,8,7,10,10,10,9,0,2373,1475,4000,3000,2373,0
80000,1,2,2,35,9,9,9,9,9,9,2000,30000,1000,1000,1000,1500,0
60000,2,1,3,43,9,9,9,9,9,9,3000,1700,1135,1100,1500,1200,1
60000,1,2,2,24,9,9,9,9,9,9,1468,2000,0,2000,0,0,0
210000,1,2,2,26,9,9,9,9,9,9,5929,3272,4362,5040,3195,105,0
360000,2,3,3,46,9,10,9,9,9,9,10600,30000,20000,15000,10000,10000,0
20000,1,2,2,48,9,9,7,9,9,9,4500,0,1000,1000,1000,1000,0
150000,2,3,2,42,8,11,11,11,11,10,0,0,0,0,5000,0,0
310000,1,1,2,30,11,11,11,11,11,11,0,8959,0,7063,0,23240,0
240000,2,2,3,40,10,10,10,9,10,7,2309,2637,2,5567,8,2730,1
160000,2,1,3,55,10,10,10,10,10,10,2016,3399,1449,5590,7314,1579,0
240000,2,3,2,40,10,7,7,11,10,10,2,0,0,700,0,0,0
20000,1,3,2,22,9,9,9,9,9,9,3004,3006,3007,489,2110,2201,0
190000,1,3,3,55,10,10,10,10,10,10,390,390,390,6026,7410,390,1
280000,2,2,3,40,8,11,11,11,11,11,0,0,0,0,0,0,0
80000,1,2,1,58,9,9,9,11,11,11,1000,0,0,0,0,0,0
290000,2,1,3,49,9,9,9,10,10,9,7600,7521,3804,160897,5198,6000,0
200000,2,3,3,34,10,10,10,10,9,9,1631,21698,12657,569,3000,25000,0
320000,1,3,3,50,11,11,11,11,11,11,0,824,31144,25664,2610,1833,0
350000,2,2,2,27,9,9,9,9,9,9,1600,1300,650,700,1000,750,0
110000,1,3,2,33,9,9,7,7,7,7,5548,0,5651,1876,0,2000,0
300000,2,2,3,37,8,11,11,10,10,10,0,0,363,0,944,2000,1
500000,2,3,3,44,8,10,10,11,10,10,1242,380,22,2575,3009,6026,0
120000,2,3,2,35,10,10,10,10,10,10,2483,252,1579,223,421,8228,0
80000,2,1,1,31,9,9,9,10,10,10,1124,1010,1322,500,175,1331,0
200000,2,2,2,33,9,9,9,9,9,9,7700,7527,4900,5100,5300,4610,1
150000,2,3,2,26,10,10,10,10,10,10,2990,4175,1707,4492,6149,34672,1
150000,2,3,2,40,9,9,9,9,9,10,11000,6000,40000,42000,34880,201277,0
210000,1,2,3,42,8,11,11,11,10,10,0,326,326,1440,8521,9592,0
150000,1,2,2,36,10,10,11,11,11,11,0,0,0,0,0,0,1
50000,2,3,2,26,9,9,7,9,9,9,6000,0,2000,2000,2000,2000,0
80000,1,2,3,33,9,9,9,9,9,9,2359,1745,1725,1704,1730,1677,0
50000,1,2,3,34,9,9,10,9,10,10,0,2522,0,1261,1428,1261,0
20000,2,2,3,50,7,9,9,9,9,9,1315,2401,900,709,1548,0,0
50000,1,2,3,37,9,9,9,9,9,9,2000,1435,1149,1197,1009,990,0
50000,1,3,2,29,8,7,7,7,7,7,0,12000,1100,1000,0,2500,0
280000,1,2,3,46,8,7,7,7,7,7,10101,8000,0,15000,0,7053,1
230000,1,2,3,51,9,9,9,9,9,9,2965,3500,2600,2500,1901,2370,0
230000,1,2,2,30,9,9,7,9,9,9,8000,0,4970,4907,4936,5024,1
80000,2,1,3,37,9,9,9,9,9,9,5021,10036,3000,2000,2000,2000,0
60000,2,2,1,35,9,9,7,9,9,9,3000,0,2000,1000,2000,1000,0
200000,1,2,3,37,9,9,9,9,9,9,9300,7851,6400,6500,6537,6200,0
30000,2,1,2,22,10,10,9,10,9,10,33404,1000,2390,0,48620,156,0
340000,2,3,2,34,10,10,10,10,10,10,42552,30084,29033,13120,59273,1241,0
250000,2,2,3,40,10,10,10,10,10,10,2942,1057,1708,3014,3037,4974,0
200000,1,3,3,52,10,10,10,10,10,10,934,1461,823,1126,880,926,0
150000,1,3,2,39,9,9,9,9,9,9,7027,6000,3220,3600,2670,2618,0
100000,2,1,3,53,8,11,11,11,11,11,0,0,0,0,0,0,0
220000,2,2,3,41,9,9,9,9,9,9,4500,4006,3000,3000,3000,6000,0
140000,1,3,2,32,8,11,10,9,9,9,0,3000,0,0,0,2000,1
40000,1,3,3,28,10,10,7,10,10,10,2567,0,2475,5341,1500,0,1
200000,2,2,2,30,9,9,9,9,9,9,7022,6501,6500,6504,7008,8009,0
520000,2,3,2,35,9,9,9,9,9,9,7000,5000,5004,5000,5000,5031,0
30000,2,2,3,22,9,9,9,9,9,9,2002,1553,1002,2002,1000,542,0
20000,1,2,2,28,9,9,9,9,9,9,1318,1278,635,802,350,0,0
50000,1,2,2,40,9,9,9,9,9,9,1218,1254,3000,617,621,643,1
300000,2,1,2,29,9,9,9,9,11,11,7951,6890,0,0,0,0,0
500000,2,3,2,36,10,10,10,10,10,10,4081,4283,3338,1224,31022,1088,0
490000,2,2,2,27,9,9,9,9,9,10,5011,5217,5000,5340,94762,5026,0
200000,1,3,2,27,10,10,10,9,9,10,825,1890,0,0,630,1030,0
40000,2,3,2,23,7,7,7,9,9,9,1500,1000,1000,2000,1000,894,1
150000,2,3,2,28,10,10,11,10,10,11,2730,500,2727,712,0,0,0
50000,1,3,3,29,9,9,9,9,9,9,2300,1400,335,342,4000,200,1
100000,1,2,2,27,9,9,9,9,9,9,4850,3740,2798,2865,3020,2377,0
50000,2,1,3,42,7,7,7,9,9,7,4000,0,3000,3228,0,4000,1
130000,2,2,2,25,10,10,10,9,9,9,780,36659,5000,5000,7000,5000,0
70000,2,3,2,27,10,10,10,10,10,10,157,157,157,307,507,357,0
30000,2,3,3,30,9,9,9,9,9,7,2013,1440,800,1800,108,1130,0
50000,1,3,2,28,9,9,9,9,9,9,2005,1206,1000,600,500,1000,0
80000,1,3,3,45,10,10,10,10,10,10,1473,24770,3366,1473,44314,4000,1
220000,2,3,2,30,9,9,9,9,9,10,5206,30176,10258,14000,15070,6029,0
200000,1,2,3,45,9,9,9,9,9,9,6061,7048,5016,10294,5136,5225,0
120000,2,2,2,24,9,9,9,9,9,10,1400,1000,0,1000,1087,801,0
100000,2,2,2,25,7,7,7,9,9,9,5000,0,3900,1801,1800,2000,0
100000,2,1,3,59,8,10,9,10,10,10,7240,1000,1558,12079,35920,0,0
50000,2,3,2,23,9,9,9,9,9,9,1626,1581,1000,900,700,1000,0
240000,1,2,3,37,10,10,10,9,9,9,5665,35000,8877,500,0,21257,0
60000,1,3,2,28,9,10,9,9,10,7,6000,10000,900,310,0,3400,0
260000,2,2,3,34,11,11,11,11,11,11,2151,3065,750,0,0,377,1
30000,2,1,3,56,7,7,7,7,7,7,1500,0,3000,1500,0,1900,1
440000,2,1,3,40,9,9,9,9,9,9,5000,5000,5000,5000,5000,5000,0
360000,2,2,2,30,9,9,9,9,9,9,5000,5000,5000,5000,5000,5000,0
50000,2,3,2,26,10,9,9,9,11,11,29000,1000,0,0,0,0,1
270000,1,3,3,50,10,10,10,10,10,10,316,316,5772,316,316,5174,0
150000,2,3,2,27,10,9,9,11,11,11,6000,0,0,0,0,0,0
200000,1,1,2,26,10,10,10,10,10,10,8355,8355,8355,8355,8355,8285,0
50000,2,2,3,36,9,9,9,9,9,9,3000,3000,3000,2000,2000,5000,0
210000,2,3,2,33,10,7,7,10,10,10,1303,3,5387,1814,0,0,0
50000,2,2,2,27,7,7,7,7,9,9,0,3400,0,1528,3038,0,1
50000,1,2,2,24,9,9,9,9,9,9,1328,1315,703,723,1050,668,0
440000,1,3,2,29,11,11,10,9,9,9,1249,279048,10758,5000,5080,2515,0
60000,2,3,2,28,7,7,7,7,7,7,0,3628,0,3600,0,4000,1
70000,2,2,3,41,9,9,9,9,9,10,3000,1500,0,0,4513,0,0
290000,2,2,2,25,9,9,9,9,9,9,2500,3000,3000,3000,3000,3000,0
140000,1,2,2,29,10,10,10,10,11,11,487,2010,0,0,0,299,0
310000,2,2,2,33,9,9,9,9,9,9,6555,6000,3272,15874,4182,15694,0
450000,2,3,2,36,8,11,10,10,11,11,10267,200,0,0,0,0,0
360000,1,3,3,34,10,10,10,10,10,10,1270,3946,2444,2805,258,1,0
550000,2,2,3,34,9,9,9,9,9,9,15000,20000,20000,12000,12000,13000,0
180000,1,3,3,44,8,11,11,11,11,11,0,0,0,0,0,4003,0
140000,1,2,3,37,9,10,9,9,9,9,5334,50006,9460,9461,2507,10007,0
50000,1,3,2,33,9,9,9,9,9,9,2000,3000,1000,1000,1000,2115,0
200000,2,2,3,30,11,11,11,11,11,11,0,441,653,500,600,751,0
60000,1,2,3,39,9,9,9,9,9,9,2128,1608,1391,1410,1580,1548,0
140000,1,3,2,28,9,10,10,9,10,10,4340,5491,2013,1510,18,89898,0
70000,1,2,3,42,9,9,9,9,9,9,3300,2600,2600,3000,2600,2600,0
20000,2,2,3,50,8,7,7,7,6,7,2000,0,1600,0,0,1500,0
100000,2,2,3,24,9,9,9,9,9,9,3000,2700,2000,1900,1700,1794,0
360000,1,3,2,33,8,11,11,11,11,11,0,0,0,0,0,0,0
100000,2,1,3,24,10,10,10,10,10,11,500,470,470,0,0,0,0
160000,2,1,2,41,10,7,7,9,9,9,3000,0,1200,1200,1500,2000,0
160000,2,2,2,27,9,9,9,9,9,9,6200,7600,6100,5900,6300,7500,0
130000,1,2,2,26,10,9,9,10,10,10,1003,0,501,0,936,1002,1
100000,2,1,3,40,9,9,9,9,9,9,2084,1973,1708,1728,1621,1359,0
90000,1,3,3,35,9,9,7,7,7,7,3100,1000,0,1600,0,800,1
80000,1,2,2,23,7,9,9,9,9,9,4000,3000,1000,2000,2000,2836,0
220000,2,2,3,28,4,3,4,5,6,7,8355,1000,0,0,6800,97,1
260000,2,3,3,39,11,11,11,11,11,11,3786,1451,2424,2050,3187,1972,1
30000,1,1,3,45,7,7,7,6,4,5,0,5000,3300,0,0,0,1
100000,2,2,3,40,8,7,7,10,9,10,0,0,10644,0,150,780,1
80000,1,2,2,39,9,9,9,9,9,9,3012,2100,2001,2001,2000,1782,0
20000,2,2,2,31,9,9,10,10,10,11,1032,2938,6039,0,0,0,0
140000,1,3,3,41,9,9,9,9,9,9,3000,3000,5000,5000,5000,3000,0
30000,2,3,2,25,8,11,11,11,11,11,0,0,0,0,0,0,1
90000,1,2,3,39,9,9,9,9,9,9,1676,2000,1220,1100,1000,1100,0
150000,2,2,2,23,9,9,9,9,9,9,2812,2599,2143,2208,2112,5000,0
250000,1,1,3,28,9,9,9,9,9,9,3899,3913,3186,3301,3525,3095,0
20000,2,2,3,37,8,7,7,9,9,9,1500,0,500,650,600,0,1
50000,1,2,3,28,9,9,10,10,10,10,10087,2522,7951,14493,2120,3027,0
100000,1,2,3,31,6,7,10,9,9,10,0,3000,0,0,1150,0,1
500000,1,3,3,46,10,10,10,10,10,10,18785,10742,37171,6192,31453,12333,0
50000,2,2,3,36,7,9,9,9,9,10,3000,3266,600,1672,20000,1000,0
40000,2,3,2,27,9,9,10,10,9,9,8040,4235,87230,3000,10000,4317,0
80000,2,2,3,35,9,9,7,9,9,7,7000,0,3000,4000,5000,0,0
100000,1,3,3,35,9,9,9,9,9,9,1730,1722,3214,2119,5064,0,0
180000,1,3,2,29,11,11,10,9,9,9,3206,10696,1291,3877,11077,700,0
90000,2,1,3,53,9,9,9,9,9,9,4000,2602,2000,3000,2000,5000,0
10000,2,2,2,23,11,11,11,11,11,11,2731,757,876,3551,0,13460,0
200000,2,3,2,33,10,10,10,10,9,9,145,0,631,0,0,165,0
80000,1,1,3,57,7,7,7,7,7,7,2600,350,0,1100,500,1300,1
90000,1,2,2,33,7,7,7,7,7,7,3000,2500,2600,2600,2500,2800,1
80000,2,2,3,42,9,9,11,11,11,11,0,0,0,0,0,0,1
90000,2,2,2,24,7,7,7,9,9,9,6600,0,2915,3154,2977,90000,1
80000,2,2,3,46,10,10,10,9,10,10,2350,4700,0,2350,2350,350,0
140000,1,3,2,27,10,10,10,9,10,10,0,825,0,528,416,1059,1
480000,1,2,3,39,9,9,9,9,9,9,20091,25370,15203,12013,12013,10135,0
230000,1,3,3,39,8,7,7,7,7,9,12000,10000,8300,0,8006,6270,0
70000,1,3,2,27,10,6,7,9,9,10,0,0,1980,0,3047,0,1
200000,2,3,2,39,9,9,9,9,9,9,6216,4371,4037,6613,4055,3575,0
180000,2,3,2,35,9,9,9,9,9,9,5000,4000,5000,3000,2700,3000,0
190000,1,1,3,37,9,9,9,9,9,9,8019,8008,6700,6800,6324,6120,0
20000,2,2,3,24,8,7,9,9,7,7,0,1720,1754,893,0,400,0
10000,1,3,2,24,9,9,7,9,9,9,2616,0,400,499,500,900,1
80000,2,3,3,45,9,9,9,9,9,9,3502,3000,4000,3100,3000,3000,0
60000,1,1,2,28,7,7,7,7,7,7,6950,3250,1767,0,3654,0,0
500000,2,3,2,37,10,10,10,10,9,9,19169,22893,53198,0,0,12000,0
50000,1,1,2,42,10,10,7,7,7,10,1974,0,700,0,550,1100,1
360000,2,3,2,28,8,10,10,10,10,11,420,0,742,0,0,198,0
10000,2,1,3,56,9,9,7,7,7,9,2609,0,830,0,400,500,0
300000,1,3,3,54,10,10,10,10,10,10,555,0,718,468,366,0,1
70000,1,2,3,48,9,9,9,10,10,10,1188,2000,1230,390,890,215,0
250000,2,2,3,32,9,9,11,11,11,11,8666,16998,17504,0,0,0,0
10000,1,1,3,51,7,7,7,7,9,9,2500,300,0,300,1774,284,1
140000,2,1,3,28,9,9,9,9,9,9,5000,3011,5000,5000,3000,5000,0
100000,2,2,3,40,8,11,11,11,11,11,0,0,0,0,0,0,0
110000,2,3,3,31,8,11,10,10,9,9,0,638,225,0,0,0,0
210000,1,2,3,38,10,10,10,10,10,10,291,291,291,291,291,1451,0
210000,2,3,3,40,11,11,11,11,11,11,680,0,0,0,0,0,0
70000,2,2,2,26,6,7,7,7,7,7,0,5100,2000,2000,0,4046,1
20000,1,2,3,47,9,9,9,9,9,9,1257,1267,588,1500,1500,0,0
220000,1,3,2,31,11,11,11,11,11,11,3796,5227,2293,4739,1640,3012,0
20000,2,1,1,51,7,9,9,9,9,7,1600,1500,900,3600,393,0,1
80000,1,3,3,28,7,7,7,9,9,9,4000,2400,3000,3000,5100,0,0
500000,2,2,3,42,9,9,9,9,9,9,21000,17414,12000,30000,18000,11000,1
210000,1,1,2,66,9,9,9,9,9,9,6510,6450,5103,5500,5307,5011,0
80000,1,2,2,27,7,9,9,9,9,9,3613,3100,2000,2100,2200,2041,1
50000,2,2,3,37,7,7,7,9,9,9,5500,0,580,600,600,600,0
240000,1,3,3,35,8,10,10,9,9,9,11901,5758,0,150,7424,0,0
150000,2,2,2,23,11,11,11,11,10,7,4848,1282,4854,10251,0,7328,0
210000,2,2,3,49,8,11,11,11,11,11,0,0,0,0,0,0,0
360000,2,2,2,28,8,11,11,11,11,11,0,0,0,0,0,0,1
230000,2,4,3,29,9,9,9,9,9,9,3000,2386,2553,2483,2657,3000,0
500000,1,3,2,35,8,10,10,10,10,10,2336,1215,6461,2567,1470,11605,0
150000,2,2,3,34,10,9,9,9,9,9,1763,2500,2000,2000,2000,2100,0
30000,2,2,2,31,8,7,9,9,7,6,0,1772,2600,2200,0,0,1
470000,1,3,3,57,9,9,9,9,9,9,3477,4100,2022,2100,2156,1740,0
200000,1,3,3,59,9,9,9,7,7,7,1700,3000,0,2500,1200,0,0
470000,1,3,2,35,9,9,9,9,9,9,9883,6000,6194,30364,100018,4817,0
310000,1,3,2,32,9,9,9,9,9,10,69220,3095,5000,2000,10058,23219,0
210000,2,3,2,28,9,9,9,9,9,9,9000,9007,5254,6000,5500,5000,0
500000,2,2,3,41,10,10,10,10,10,10,187206,10909,29161,28238,33272,175357,0
80000,2,2,2,27,9,9,9,9,7,7,3320,2800,6400,2870,0,3150,0
20000,1,1,2,38,9,9,9,9,10,10,1400,1023,0,12469,598,1,1
150000,1,1,2,32,8,10,9,9,9,9,40093,30000,10000,10030,5000,5000,0
390000,1,1,3,39,9,9,9,9,9,9,59324,6093,5411,6025,5000,3617,0
10000,1,3,2,29,9,9,9,9,9,9,1500,1000,4000,500,2500,0,0
390000,2,1,3,46,11,11,11,11,11,11,7097,6548,8976,909,17682,12710,0
210000,1,1,3,41,10,10,7,9,9,10,1732,0,0,0,69438,3750,1
350000,2,3,3,33,11,11,11,11,11,11,693,0,1144,4279,0,0,1
150000,2,3,2,35,10,10,10,9,9,10,599,982,1007,5,2075,2669,0
210000,2,2,3,36,9,9,9,9,9,9,2017,1900,1900,1925,1845,1886,0
100000,1,3,3,55,9,9,9,9,9,9,2000,4000,2000,3000,0,0,0
210000,1,3,2,36,9,9,9,9,9,9,5187,2043,1552,2013,3002,3003,1
290000,2,2,3,48,10,10,10,10,10,10,31401,1369,15010,3280,0,3357,0
330000,1,2,3,50,8,10,10,10,10,10,2763,0,5371,16648,1000,997,1
50000,1,2,2,37,9,9,9,9,9,9,2202,2083,697,711,717,674,0
80000,1,1,2,27,9,9,9,9,9,9,1821,3600,1000,1000,1000,1000,0
340000,1,2,3,35,9,9,9,9,9,9,2000,2000,2000,2000,2000,2000,0
120000,1,1,3,38,9,9,9,9,9,9,1988,18000,1857,1723,2075,1500,0
30000,2,2,2,22,9,10,10,10,10,11,5572,3321,3154,3031,3339,2921,0
260000,2,3,2,35,9,9,9,9,9,9,9581,30000,1590,1472,1317,1314,0
50000,1,2,3,64,9,9,9,9,9,10,2384,5461,2872,1093,19055,2239,0
420000,2,1,2,25,8,7,9,9,9,9,0,2000,1892,1979,2226,23011,1
130000,2,2,3,28,9,9,9,10,10,10,4000,7000,3600,3333,3333,3110,0
270000,2,2,3,30,9,9,9,9,9,9,5000,5000,5000,5000,5240,5000,0
50000,1,1,2,30,9,9,9,9,7,9,1135,1144,797,0,329,490,0
20000,1,2,3,34,9,9,9,9,9,9,1300,1500,1415,4000,1000,1000,1
140000,2,2,3,34,9,9,9,9,9,9,7000,7000,5300,5300,10100,5400,0
100000,2,2,3,35,9,9,9,9,9,9,3000,1707,1551,1607,2000,2000,0
50000,1,1,2,41,7,7,7,7,6,7,0,3500,2589,0,0,1332,0
500000,1,3,2,37,10,9,9,9,10,10,7254,2208,11,6402,5234,2899,0
80000,1,2,3,35,9,9,9,9,9,9,3085,2969,1007,1042,1200,1501,0
220000,2,2,3,34,10,10,10,10,10,10,15683,1381,3300,2452,2728,0,1
30000,1,2,3,34,7,9,9,9,9,7,1750,1800,1118,2100,1100,0,0
240000,1,2,2,26,9,9,9,9,9,9,7000,6500,6183,6640,14000,0,0
220000,1,1,3,41,11,11,11,11,11,11,34415,14565,7229,12806,35433,11405,0
320000,1,2,3,32,10,10,10,10,9,9,451,0,29811,20000,2386,462,0
230000,2,2,3,36,9,9,10,7,10,7,0,150,0,921,0,51362,0
20000,1,1,2,44,10,7,10,10,10,10,0,390,390,390,0,780,0
280000,2,2,3,34,9,9,9,9,9,9,3500,3200,2500,2400,2500,2500,0
110000,1,2,3,44,9,9,9,9,9,9,6010,5507,4500,4502,4200,4500,0
180000,2,2,3,26,9,9,9,9,9,9,18000,5044,6506,500,500,2000,0
100000,1,1,3,51,9,9,9,9,9,9,3799,3269,3407,5024,5056,5135,0
80000,1,2,3,37,9,9,10,10,9,9,5377,9383,6295,10018,21939,5002,0
260000,2,1,2,30,10,10,10,10,10,10,6894,2917,0,2784,5568,1714,0
110000,2,2,2,25,7,7,7,7,7,9,5900,3500,3400,0,4000,4000,0
150000,2,2,3,31,9,9,9,9,9,9,5500,4005,3241,15500,4000,3568,0
