LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,SEPT_STATUS,AUGUST_STATUS,JULY_STATUS,JUNE_STATUS,MAY_STATUS,APRILL_STATUS,SEPT_BILL,AUGUST_BILL,JULY_BILL,JUNE_BILL,MAY_BILL,APRIL_BILL,DEFAULTED
330000,2,2,3,31,9,9,9,9,9,9,298644,297005,303257,302905,304151,299959,0
180000,1,3,3,50,9,9,9,9,9,9,181624,182765,180769,141352,142078,141695,0
30000,1,2,2,47,6,7,7,9,9,9,29774,30797,29216,29681,29321,28068,1
200000,1,3,2,36,10,10,9,9,9,9,1801,9483,60571,57990,9568,82,0
80000,2,1,3,41,9,9,9,9,9,10,52456,20925,15115,12465,6925,6049,0
80000,1,2,2,25,9,9,9,9,9,9,31780,33261,34703,36125,38374,39382,1
100000,2,3,2,27,10,10,10,10,10,10,3904,398,931,5983,2010,1413,0
300000,1,3,3,54,11,11,11,11,11,11,0,0,0,0,0,0,0
240000,2,3,3,58,8,10,10,10,11,10,0,222,1900,0,0,5435,1
50000,2,2,3,49,10,10,10,10,10,10,12515,9115,1198,198,1198,11198,1
50000,2,1,3,50,9,9,7,9,9,9,35415,38940,36319,22538,23013,23465,0
100000,1,2,3,42,9,9,7,7,7,9,17565,19700,18306,18239,17053,16753,0
110000,1,1,2,40,9,9,9,9,9,9,84965,85007,84965,79625,79370,81134,0
180000,2,2,3,40,9,9,9,9,9,9,23820,22749,21221,18190,17919,18402,0
140000,2,2,2,26,9,9,9,9,9,9,140881,136889,140615,78486,48476,50509,0
80000,1,2,2,28,10,9,9,9,9,9,77701,19577,22033,57522,58939,60790,0
90000,2,3,2,26,10,10,10,10,10,10,17018,3692,5037,5899,4129,17246,0
90000,1,1,3,45,7,9,9,10,10,11,37681,27664,18037,1696,-4,2889,1
240000,2,2,2,41,9,9,9,9,9,9,188983,190556,189914,190434,179424,183299,0
150000,1,3,3,41,8,11,10,10,10,11,-200,-200,1600,5431,0,0,0
240000,2,3,2,33,10,9,9,9,9,9,153062,156122,159998,161434,163403,167230,0
80000,1,1,2,34,9,9,9,9,9,9,78562,56877,57761,58707,56220,60463,0
110000,2,2,3,42,7,7,7,7,7,9,28383,27653,29003,29447,27701,28285,0
120000,2,2,2,39,9,9,7,9,9,9,22033,24067,24372,24670,25617,26535,0
360000,2,2,3,42,11,11,11,11,11,11,18186,7954,11609,10070,5079,4086,0
150000,1,4,2,30,9,9,9,9,9,9,175348,153679,110237,46972,29045,20105,0
80000,1,3,3,53,9,10,9,9,9,9,2783,1108,21400,21000,21000,0,0
140000,1,2,3,47,6,6,6,7,9,9,192182,187720,189659,185477,189351,193122,1
50000,1,2,3,40,9,9,9,9,9,9,15090,16421,17144,17636,17850,18212,0
20000,2,1,3,36,8,7,9,9,9,9,17216,17541,18300,19100,2200,0,0
240000,2,3,3,29,9,9,10,9,9,9,21409,17833,194043,194991,192800,178318,0
50000,1,3,2,49,9,9,9,9,9,9,47754,48648,8868,9044,9234,9418,0
380000,1,3,3,57,9,9,9,9,9,9,319243,357782,374313,371566,362232,352161,0
30000,1,2,2,49,10,10,10,10,10,10,1659,1473,390,390,390,1320,0
50000,2,2,3,31,8,7,7,7,9,9,23781,24900,25098,24396,25310,25740,0
160000,2,2,3,36,10,10,10,10,10,10,2511,2242,6109,2500,2689,0,1
50000,1,2,1,53,9,9,9,9,9,10,49170,49446,36445,24788,24967,28652,0
80000,2,1,2,31,9,9,9,7,7,7,34620,35759,40020,40766,39982,44621,0
70000,2,2,2,28,8,7,7,7,9,9,70736,72014,72215,70779,62525,71427,1
200000,1,3,2,29,9,9,9,9,9,9,187889,190967,195622,126281,128702,131001,0
100000,2,1,3,28,6,5,6,7,9,10,110946,106423,101256,48876,28468,3875,1
180000,1,2,2,38,7,7,9,9,9,11,21564,20939,22182,12382,-18,-18,1
360000,1,1,3,53,10,10,10,10,10,10,45421,68526,47416,48811,193712,80601,0
230000,1,3,2,39,10,10,10,7,10,10,834,-150,517,53,603,10141,0
190000,2,2,3,48,9,9,9,9,9,9,210612,206806,203803,167103,163528,162555,0
260000,1,3,2,32,9,9,9,9,9,9,122423,123006,122956,123709,120603,122674,0
30000,2,2,2,25,10,7,7,9,9,9,4471,5747,5509,6260,7654,8522,0
150000,2,1,2,25,8,11,11,10,10,10,0,0,0,900,0,583,0
80000,2,2,2,34,8,10,10,11,11,11,0,7400,-600,-600,-600,-600,0
80000,1,2,3,37,7,7,7,7,9,9,81562,56352,29582,28852,29464,28688,1
180000,2,1,3,43,11,11,11,11,11,11,1242,0,0,0,0,0,0
350000,2,3,2,33,11,11,11,11,11,11,-2,-2,-2,-2,-2,-2,0
200000,2,1,3,30,10,10,7,10,10,10,1120,1100,740,740,890,740,0
140000,1,2,2,27,9,9,9,9,9,9,24050,68059,62503,61129,59089,58160,0
20000,1,3,2,25,9,9,10,10,11,11,2652,3127,1500,0,0,0,1
20000,2,1,1,55,8,7,6,7,7,7,18558,20358,19743,19128,20560,20082,1
220000,1,3,2,37,9,9,9,9,9,9,34339,35075,32355,31573,51279,53590,0
290000,2,3,2,36,8,7,7,7,7,9,170422,173840,169476,177186,161057,163338,1
80000,2,1,3,40,9,9,9,9,9,9,29676,30707,31721,32350,33031,33926,0
16000,2,2,3,48,7,7,9,9,9,9,4577,4358,5366,5473,5750,6995,0
100000,2,2,3,33,9,9,9,9,9,9,82308,83994,85688,86643,88280,90054,0
390000,2,2,3,37,9,9,9,9,9,9,200612,202794,191419,81360,66864,66729,0
550000,2,3,2,35,9,9,9,9,9,9,83707,49676,49196,37784,35317,7433,0
80000,2,2,2,31,9,9,9,9,9,9,81358,69913,71541,72541,54061,55136,0
150000,2,2,3,39,10,9,9,9,9,10,12365,58266,40921,24053,25856,77913,0
20000,2,2,3,27,9,9,10,10,11,11,7286,2160,780,0,0,0,0
20000,2,2,2,21,9,10,10,11,11,11,20000,1685,0,0,0,0,0
100000,2,1,2,29,11,11,11,10,10,10,2038,11383,1661,1891,3681,870,0
30000,1,1,2,28,7,7,7,7,7,6,300,300,300,300,1300,1150,1
80000,2,1,3,47,9,9,9,9,9,9,33590,34524,34038,33231,33440,5513,0
30000,1,3,2,33,7,7,7,7,7,7,27274,25744,27504,26987,26927,25553,1
140000,1,1,2,23,10,10,10,10,10,10,390,390,390,1434,1309,540,0
200000,1,2,2,32,9,9,9,9,9,9,180461,171839,173325,153953,144206,143178,0
290000,1,3,2,41,9,9,9,9,9,9,255049,247090,242309,238609,238712,237847,0
50000,1,2,2,23,9,9,10,9,9,10,96234,44882,1270,880,390,390,0
260000,2,3,2,28,8,11,10,10,11,11,0,0,355,2165,2165,0,0
60000,1,2,3,24,9,9,9,9,9,9,24608,18686,18571,18118,16179,12919,0
280000,1,3,3,34,9,9,9,9,9,9,212968,312960,373419,232919,228387,235187,0
100000,2,3,2,36,9,9,7,9,9,7,10672,11025,5791,3623,5554,5309,0
290000,2,1,3,48,10,9,9,10,10,10,284990,274764,225000,16635,15000,47143,0
50000,1,1,3,49,9,9,9,7,9,9,10644,12163,14147,13626,15194,16929,0
150000,1,3,2,66,9,9,9,7,7,7,131027,135519,147692,149166,151934,137885,0
390000,2,3,3,39,11,11,11,11,11,11,48417,15530,112316,114797,131601,130295,0
180000,2,2,3,44,9,9,9,9,9,9,161186,167080,170788,174764,162667,166953,0
290000,2,2,3,55,8,11,10,10,10,7,0,166,2462,-150,1134,777,1
180000,1,2,2,34,9,9,9,9,9,9,22387,23453,20171,20245,20769,23770,0
80000,2,3,2,31,10,10,10,10,10,7,14401,4374,15020,4233,5934,158,0
450000,2,3,3,42,10,10,10,10,10,10,72517,0,6281,3446,6157,0,0
20000,1,2,2,37,9,9,9,9,9,9,20009,20602,21255,19105,19609,19283,0
80000,1,3,2,25,9,9,9,9,9,9,31443,26358,20050,10850,4204,0,0
100000,2,2,2,36,9,9,9,9,9,9,87656,90341,92244,93316,95158,97776,0
70000,1,1,3,39,9,9,9,9,9,9,58665,55845,55362,39615,40477,43295,0
330000,1,1,3,49,9,9,9,9,9,9,217148,218414,216225,181352,181172,179835,0
200000,1,3,2,30,11,11,10,10,11,10,1488,2493,5261,993,2494,3890,0
30000,1,3,2,36,9,9,9,9,7,7,27748,24640,51026,27400,26823,28621,0
200000,2,1,3,69,7,7,7,7,7,11,2500,2500,2500,2500,0,0,1
80000,2,3,2,27,10,10,10,10,11,11,5060,0,3885,0,0,0,0
340000,2,3,2,40,9,10,9,10,10,7,68616,6691,10961,8722,4776,2812,0
20000,2,2,2,56,9,9,9,9,9,9,17091,17596,15524,14807,13667,16271,1
130000,2,3,2,29,7,9,9,9,9,9,126509,109944,105049,68154,67397,61764,0
400000,1,3,2,31,9,9,9,9,7,9,115506,123607,140859,157131,126146,115529,0
200000,2,2,3,29,9,9,9,9,9,9,34391,26945,26349,26925,27841,29368,0
80000,2,2,3,47,9,9,10,10,11,11,4762,3235,1970,0,0,0,0
50000,1,1,3,39,9,9,9,9,9,9,26979,21029,18765,19145,19229,19026,0
30000,2,3,2,25,9,9,9,9,9,9,19783,20959,22269,22601,23085,23646,0
70000,2,2,2,22,9,9,7,9,9,9,31377,31420,30940,24765,25942,27073,0
500000,1,3,2,33,10,10,10,10,10,10,3933,5924,39167,4683,7222,35746,0
80000,1,3,2,27,10,10,10,10,11,10,6544,4924,1990,0,0,4350,0
120000,1,2,3,40,9,9,9,9,9,9,94166,73086,62511,36996,30311,26414,0
390000,1,3,3,33,9,9,9,9,9,9,17794,23518,28139,32711,36215,40650,0
30000,1,1,3,52,9,9,9,9,9,9,28889,30050,29797,18464,12235,0,0
70000,2,3,2,30,9,10,10,7,9,9,6749,64626,47161,27534,26660,27022,0
140000,1,1,2,39,9,9,9,9,10,10,115940,100572,10776,10776,1059,0,0
30000,2,2,3,27,9,9,9,9,9,9,52636,27761,28791,29078,30125,8941,0
190000,2,2,2,25,8,11,10,9,9,10,0,0,2251,2251,497,7681,0
270000,1,3,2,33,9,9,7,9,9,9,117705,123812,125284,126708,134352,108585,0
290000,1,3,2,35,11,11,11,11,11,11,184910,118701,97606,76053,53994,31812,1
50000,1,2,2,29,9,9,9,11,11,11,1972,2524,0,0,0,0,1
200000,2,3,3,41,9,9,9,9,9,9,30689,31895,32808,28298,26538,24645,0
30000,2,2,2,24,9,9,7,9,9,7,5807,7153,7877,8591,10302,10006,0
150000,1,2,3,29,9,9,9,9,9,9,46625,66174,81085,75300,77276,64065,0
30000,2,1,2,48,10,10,10,10,10,10,2946,0,390,390,390,0,1
500000,1,3,3,34,11,10,10,10,10,10,33348,90852,42389,19238,34750,21464,0
20000,2,3,2,23,9,9,9,7,9,9,17229,17591,17750,17175,18716,18782,0
50000,1,1,3,29,8,7,9,9,9,9,22446,21799,23130,24432,26862,29244,0
280000,1,2,2,30,7,7,7,7,7,9,110550,113877,115223,116930,112607,95949,0
80000,1,1,2,24,8,10,10,10,10,10,0,832,416,416,416,416,0
200000,1,3,2,27,8,11,10,9,10,10,0,0,6331,6460,630,500,0
30000,2,1,3,60,9,9,9,9,9,9,27331,27171,28491,28091,28664,0,0
30000,2,2,3,24,9,9,9,9,9,9,22280,23671,24233,22893,3332,3400,0
380000,2,2,3,35,10,10,10,10,10,10,2661,2022,1823,1823,1823,1198,0
260000,2,2,2,26,9,9,9,9,10,10,164351,164244,158124,62373,746,-45734,0
50000,1,2,2,22,8,7,9,9,9,9,50043,98450,48689,19773,19931,19237,0
90000,1,1,3,53,9,9,9,9,9,9,99905,87296,90388,56087,27055,22320,0
20000,1,2,3,40,8,7,7,9,9,9,15919,16939,16374,16604,16837,17357,0
10000,1,2,2,27,8,10,9,9,9,9,-2000,2475,4428,6368,9046,10000,0
400000,2,2,3,44,8,11,10,10,10,10,0,0,1228,3405,961,-251,0
300000,2,3,2,32,11,10,10,11,11,10,2081,1925,1656,1756,1776,3414,0
150000,2,4,3,25,11,10,10,10,9,9,1072,963,3271,16741,8230,6517,0
50000,2,2,2,33,9,9,9,9,9,9,51444,52607,48083,30205,29747,30042,0
100000,2,2,2,25,7,7,9,9,9,9,101827,99365,100349,72391,72396,72668,1
150000,2,2,3,38,11,11,11,11,11,10,0,0,0,0,0,150,1
110000,1,2,2,34,9,9,9,9,9,9,111576,102942,99241,73151,64731,66025,0
100000,2,2,2,28,9,9,9,9,9,9,106750,76374,68584,66901,63261,64409,0
50000,1,2,3,33,9,9,9,9,9,9,21460,12570,13530,14876,14157,18888,1
80000,1,3,2,29,9,10,10,10,10,10,6228,589,390,390,390,383,0
210000,2,3,2,25,10,10,10,9,9,9,4576,1837,141555,140550,153587,153278,0
140000,2,1,3,60,9,9,9,9,9,9,137730,137498,137187,136807,136631,136080,1
240000,2,3,3,43,9,10,10,11,11,11,8862,3220,0,0,0,0,0
110000,2,2,2,36,9,9,9,9,9,9,48120,44723,37745,34519,29541,42400,0
100000,2,1,2,48,11,11,11,11,11,11,2422,894,0,0,1639,923,0
50000,1,2,3,24,9,9,9,9,9,9,17961,18689,19284,19517,19193,18848,0
90000,2,2,3,35,9,9,9,9,9,9,82164,77060,76589,62892,58326,59491,0
150000,1,3,2,33,9,9,9,9,9,11,26739,32939,34300,35100,-1200,-1200,0
100000,2,2,3,30,7,7,7,7,7,7,29778,30678,31154,31625,31059,33123,1
140000,2,2,3,62,9,9,9,9,9,9,142250,142172,141738,141524,141845,142150,0
230000,2,3,2,33,9,9,9,9,9,9,172567,174987,133263,114889,117139,120252,0
20000,2,2,2,25,9,9,9,9,9,9,19223,18206,19195,38040,20009,20138,1
230000,2,1,2,38,9,9,9,9,9,9,14887,23751,52698,101007,103598,150430,0
150000,1,2,2,26,11,11,11,11,11,11,3627,0,0,0,0,0,1
20000,1,2,2,24,9,9,9,9,9,9,10534,8864,6741,3820,16945,17509,0
120000,2,1,3,35,9,9,9,9,9,9,27666,28036,29555,28458,29129,29700,0
30000,2,1,3,58,8,7,7,7,6,7,24921,26225,25502,28588,27616,27903,1
220000,1,3,3,42,8,7,9,9,9,9,59932,57477,54788,54468,51920,49016,0
250000,1,3,3,41,10,10,10,10,10,10,9146,10906,4614,28790,4418,10676,0
80000,1,2,3,34,9,9,9,11,11,11,11460,16000,0,0,0,0,0
60000,1,3,2,22,9,9,7,9,9,9,57392,60254,58971,29137,29900,30069,0
130000,2,2,3,37,8,11,10,10,10,10,0,0,306,3670,1473,5555,0
400000,1,1,3,43,10,9,9,9,9,10,145801,134269,100229,57583,8556,316,0
150000,2,2,2,28,9,9,9,9,9,9,103227,105462,109160,109859,112314,114614,0
230000,2,1,3,58,11,11,11,11,11,11,316,316,2310,316,316,316,1
70000,2,1,2,24,9,9,9,9,9,9,75894,70947,59783,18965,15936,1518,0
50000,2,2,3,39,9,9,9,9,9,9,47407,37716,30873,24659,15849,8540,0
90000,2,3,3,38,10,10,10,10,10,10,380,2132,0,1066,1752,569,0
30000,2,1,2,49,9,9,7,9,9,9,27838,30715,29322,28015,28610,28884,0
30000,1,2,3,49,6,7,7,7,7,7,26319,27404,27769,28227,28642,28042,0
250000,2,3,2,26,11,11,11,11,11,11,1245,712,0,0,0,0,0
30000,2,2,2,23,8,10,10,11,11,10,-1,604,0,0,0,359,0
150000,2,2,3,27,11,11,11,11,11,11,929,0,0,0,0,0,0
400000,2,3,2,48,10,10,10,9,9,10,24478,10841,53336,25017,16039,38994,0
30000,2,2,3,52,9,9,9,9,10,10,20533,20819,21990,15525,25242,0,1
270000,2,3,2,50,10,10,10,10,9,10,3095,2340,0,1250,2250,178,0
360000,1,1,3,37,10,10,11,11,11,10,303,0,0,0,0,860,0
80000,2,2,3,23,7,9,9,9,9,9,82628,134880,67325,68652,70388,76743,1
70000,2,2,2,33,9,9,9,9,9,7,14320,15383,16318,17048,18772,18320,0
50000,2,3,2,29,9,9,9,9,9,9,41897,17304,16544,14787,15975,17098,0
220000,2,2,2,38,9,9,9,9,9,9,142846,146533,151098,153094,156295,151840,0
70000,1,2,2,29,9,9,9,7,9,9,56626,58512,61926,60332,61658,65561,1
340000,2,3,3,39,9,9,9,9,9,9,250571,251917,256908,260462,265927,271766,0
20000,2,1,3,43,10,10,10,9,10,10,390,0,780,390,390,0,0
300000,2,2,2,32,9,9,9,9,9,9,139578,123041,110751,99222,83859,72220,0
180000,2,3,2,29,11,11,11,11,11,11,0,0,432,0,0,0,0
60000,1,2,2,33,8,11,11,11,11,10,-64,-64,-64,-64,-64,16759,0
160000,2,2,2,27,7,7,7,7,7,7,157818,161308,162923,161481,155819,168283,1
50000,1,2,2,37,9,9,9,9,9,9,50148,50522,50073,49130,48658,0,0
100000,2,3,3,38,10,10,10,10,10,10,1669,710,1824,1968,0,640,0
60000,2,1,3,48,10,10,11,11,11,10,2970,430,430,717,430,4171,0
30000,1,2,2,23,9,9,9,9,9,9,26725,28289,29489,30237,30504,29771,0
500000,2,2,2,33,11,11,11,10,9,9,13284,17262,81198,40049,54258,59569,0
20000,2,2,3,35,9,9,9,9,9,9,18126,19174,20095,18583,19313,36046,0
50000,2,2,2,23,9,9,10,10,10,10,35131,6559,836,836,836,3300,0
180000,2,2,3,35,9,9,9,9,9,9,174635,173281,175102,134494,135881,124651,0
90000,2,2,2,23,9,9,9,9,9,9,19204,12681,14155,14916,15673,17404,0
150000,2,2,3,33,9,9,9,9,9,9,37794,39240,40653,41249,42356,43278,0
30000,1,2,3,44,9,9,9,9,9,11,30003,30470,30147,26030,0,0,0
130000,1,1,2,45,9,9,10,9,10,10,13513,11800,2522,1261,390,390,0
80000,2,1,3,39,11,11,11,11,11,11,0,0,0,0,0,0,0
210000,2,2,3,33,9,9,9,9,9,9,206409,198390,200035,96882,99087,101427,0
530000,2,3,2,39,9,9,9,9,9,9,439330,407763,364298,345867,346676,352736,0
360000,1,2,3,51,8,6,7,9,9,9,3551,3348,2504,1878,1252,626,1
140000,2,2,2,36,9,9,9,9,9,9,134183,136457,97395,99249,77188,71675,0
20000,2,2,3,24,7,9,9,9,9,9,19618,17576,18266,18637,19028,14924,0
200000,2,3,3,40,10,10,10,10,10,10,316,316,316,316,316,316,0
40000,2,2,2,25,9,9,9,7,9,9,39092,39816,40817,39082,38091,40159,1
200000,1,1,2,27,9,9,9,9,9,9,60225,61040,32298,31046,21581,16001,0
90000,1,4,2,34,9,9,9,9,9,9,101023,97045,102372,100794,98277,96735,0
410000,1,2,3,45,9,9,9,9,9,9,278405,285415,279484,274639,281158,288051,0
170000,2,1,2,42,9,9,9,9,9,9,77795,66420,83733,89389,97696,101063,0
230000,2,3,3,37,9,9,9,9,9,9,89299,90714,86954,76098,76501,64763,0
210000,2,2,2,42,10,10,10,9,10,10,1631,1024,1520,916,586,1466,0
200000,1,2,2,29,9,9,9,9,9,7,7468,34399,36792,49648,33498,30895,0
50000,2,3,2,25,8,7,9,9,9,9,43099,42133,43127,44210,45844,49869,0
130000,1,2,2,42,9,9,9,9,9,9,83521,84373,86004,87718,90720,87851,0
210000,1,2,2,34,9,9,9,9,10,10,24708,21544,41616,34833,17628,2400,0
130000,2,2,2,42,9,9,9,9,9,9,42946,43969,44975,45723,46515,47450,0
80000,2,2,2,41,10,7,7,7,7,7,66053,67397,68193,69465,70545,72233,0
360000,2,2,3,49,10,10,11,11,11,11,15000,0,0,0,0,0,0
500000,1,3,3,42,8,8,9,9,9,9,9615,9996,177741,163299,159110,135658,0
60000,2,2,3,53,10,10,10,10,10,10,390,390,390,390,540,390,1
160000,2,2,2,26,9,9,9,9,10,10,8218,4450,3291,1623,905,0,0
50000,2,2,2,22,7,9,9,9,9,9,47076,48628,48524,8411,8587,8758,1
50000,1,1,3,33,9,9,9,7,9,9,19374,17772,20090,19052,19601,16460,0
360000,1,3,2,36,9,9,9,9,9,10,256324,246283,211725,49064,19272,18609,0
30000,2,2,2,38,8,11,11,10,7,7,0,0,0,239,89,589,0
20000,2,2,2,27,10,7,10,7,9,9,226,226,4294,2863,1583,1320,0
360000,2,3,3,32,9,9,9,9,10,9,37736,28746,19783,17738,1262,382,1
50000,2,3,2,28,9,9,9,9,9,9,6608,4571,6260,6760,4762,5684,0
460000,2,3,3,43,11,11,11,11,11,11,7677,21748,4032,23724,12972,11111,0
20000,1,2,2,24,10,7,7,7,9,9,19318,18735,20905,20270,19409,19954,0
330000,1,2,3,39,8,10,10,9,9,9,-208,208,125755,128671,132598,136229,0
200000,2,1,3,29,8,11,10,10,10,10,0,0,1000,34614,749,0,0
50000,2,2,3,38,7,7,7,7,9,9,50965,50956,50603,49788,37353,0,1
50000,2,2,3,24,9,9,9,9,9,9,7052,2105,7358,2912,2881,553,0
50000,1,2,2,24,8,10,10,10,10,10,-22,834,-639,1559,-205,613,0
270000,2,2,3,42,10,10,7,10,10,10,1138,11899,5794,19857,3681,3188,0
200000,2,2,3,33,10,10,10,10,9,9,7770,3266,200,15845,15845,-39,0
300000,2,2,2,28,9,9,9,9,9,9,199801,121321,94524,86637,78939,70689,0
50000,2,3,2,26,8,11,11,11,10,10,-1,-1,-1,-1,349,350,0
250000,2,1,3,55,9,9,9,9,9,9,296963,237684,178151,180993,155516,125063,1
400000,1,3,2,33,9,9,9,11,11,10,201800,205150,0,0,0,91057,0
360000,2,3,2,27,9,9,9,9,9,9,119138,100553,96679,79703,71682,24230,0
120000,2,2,3,29,9,9,9,9,9,9,122842,123704,123291,121242,121403,121863,1
50000,2,2,3,49,7,9,9,9,9,9,19169,20195,21207,21628,22233,22519,1
340000,2,2,3,40,11,11,11,11,11,11,0,0,0,0,0,0,0
180000,1,2,2,29,9,9,9,9,9,9,98535,99196,98905,75576,59889,51422,0
50000,2,3,2,23,8,10,9,9,9,9,-1971,50265,45397,45256,28355,16624,0
150000,1,2,2,37,10,9,9,9,9,9,111880,106841,102490,103711,104153,103240,0
100000,2,2,3,41,7,7,7,7,7,9,97031,96919,93277,97576,94742,95578,1
200000,2,2,2,28,8,10,10,10,10,10,0,1732,828,0,497,1809,0
160000,1,2,2,43,9,9,11,11,11,11,8460,0,0,0,0,0,0
50000,1,1,3,55,9,9,9,9,9,9,44258,28040,27935,51904,24147,24425,0
150000,2,2,3,40,9,9,9,9,9,9,40548,41597,42405,43498,44596,45700,0
50000,2,1,3,52,11,11,11,11,11,11,0,0,0,0,0,0,0
220000,2,2,2,36,9,9,9,9,9,9,126695,106534,109884,106114,108202,110938,0
30000,2,2,3,23,7,7,7,7,7,7,11851,14416,13887,14564,15183,14790,1
30000,2,2,3,26,7,9,9,9,9,7,25369,23073,21520,18669,15710,15308,1
50000,2,1,2,57,9,9,9,9,9,9,18599,18598,18835,18475,18135,17777,0
160000,2,2,2,35,9,9,7,9,9,9,25590,29169,28406,28836,30208,30853,0
180000,1,3,2,31,11,11,11,11,11,11,0,48544,17700,4270,0,19331,0
190000,1,3,3,31,9,9,9,9,9,9,158416,124910,95406,95313,48731,87197,0
480000,2,3,3,39,9,9,10,9,9,9,106660,400000,66270,80274,82160,110773,0
270000,2,3,2,32,9,9,9,9,9,10,25343,40414,39956,39827,9456,386,0
200000,1,2,2,37,11,11,11,11,11,11,162,536,0,495,0,0,0
80000,1,3,2,38,10,10,10,9,10,10,780,259,7544,390,390,332,1
410000,1,2,3,36,11,11,11,11,10,10,3827,9921,28961,2954,9942,2628,0
50000,2,3,2,25,10,7,9,9,9,10,2823,1760,2640,1760,880,1910,1
50000,2,1,2,42,9,9,9,9,9,9,2389,3405,4414,4653,4596,4688,0
210000,1,3,3,39,11,11,11,10,10,11,980,0,650,3446,0,0,1
20000,1,3,2,28,9,9,9,9,9,9,16196,17232,18339,18734,19281,19413,0
150000,2,3,2,28,9,9,9,9,9,9,109835,110255,110247,110955,105145,105377,0
130000,2,3,2,25,8,7,10,10,10,10,2576,2356,5978,2750,3641,1735,1
200000,2,3,2,26,9,9,9,9,9,9,121830,91216,93099,94949,96929,98909,0
110000,2,2,2,23,9,9,9,9,9,9,106963,101958,85914,73638,72119,73764,0
180000,2,3,3,30,10,10,11,11,11,11,2743,0,0,0,0,0,1
300000,2,3,3,40,10,10,10,10,9,9,10920,3939,10184,115184,63758,19813,0
360000,1,3,2,32,10,10,10,10,9,9,27,185,0,617,617,0,0
380000,2,2,3,30,11,11,11,11,11,11,3745,738,1175,576,576,-2,0
360000,2,3,2,29,10,10,11,11,11,10,2868,0,0,0,0,629,1
80000,1,3,2,28,11,11,11,11,11,11,8598,9467,-270,3697,9455,4144,1
350000,2,3,1,48,10,10,10,10,10,10,181212,6021,154505,19653,26963,55533,0
20000,2,4,3,28,9,9,9,7,9,9,21501,21415,21529,19542,18547,17519,0
320000,2,3,2,35,9,9,9,9,9,9,227927,218565,223284,98028,102498,80469,0
90000,1,1,3,62,9,9,9,9,10,10,86200,81995,16985,12985,285,-4715,0
40000,2,3,2,27,10,10,9,9,9,10,32540,14163,30107,31567,32583,31309,1
50000,2,2,3,40,10,9,9,9,9,9,46616,44515,48510,35774,18261,16644,0
210000,2,3,2,24,10,10,9,9,9,10,4055,113782,59367,29583,26756,29553,0
30000,2,2,2,22,6,7,9,9,7,7,30078,28639,26017,27790,27209,30508,0
310000,2,3,2,27,8,10,10,11,10,10,0,113,0,0,6960,6008,1
280000,2,2,2,35,11,11,11,11,11,11,1616,1198,494,698,1233,5080,0
280000,2,3,3,41,9,9,9,9,9,9,99755,81244,81193,82470,49630,46517,0
260000,2,3,2,33,7,10,10,10,10,7,1381,491,491,1132,1711,1070,0
90000,1,2,3,41,10,10,9,9,9,9,-1750,76674,77974,80064,81747,86611,0
280000,1,3,3,49,11,11,11,11,11,11,11797,6163,-54,-54,-54,-54,0
360000,2,1,2,34,10,7,7,11,11,11,2500,2500,0,0,0,0,0
30000,2,1,2,27,7,7,7,7,7,7,13257,14046,13523,14498,14123,15184,1
380000,1,2,3,48,9,9,9,9,9,9,379080,294675,226959,219918,203575,188774,0
80000,2,2,2,22,6,7,9,9,9,7,42080,41131,42281,42605,47544,33115,0
50000,2,3,2,25,7,7,7,7,7,7,45708,48862,47748,50799,49904,49978,1
280000,2,3,3,37,8,11,11,10,10,10,449,12487,-10,3090,240,2010,0
120000,2,2,1,37,7,7,7,7,7,7,26446,27719,27570,28318,29217,28598,1
180000,1,3,3,49,9,9,9,9,9,9,63444,65420,67722,70970,72670,76444,0
380000,1,1,2,33,10,10,10,10,10,10,2989,3731,3003,69127,33815,115854,0
110000,2,3,2,27,9,9,9,7,9,9,30961,31860,35254,30250,21436,25325,0
50000,2,2,1,37,10,10,10,10,10,9,1149,1420,1253,190,13390,9902,0
200000,2,3,2,48,11,11,11,10,7,7,0,0,0,5000,5000,0,0
200000,1,3,3,44,10,10,10,10,10,10,25929,1582,21133,2941,8191,22842,0
150000,2,3,3,35,9,9,9,9,9,10,27329,42144,35757,33789,33219,5621,0
60000,1,2,3,40,9,9,9,9,9,9,58078,58139,59461,37170,18464,15822,1
200000,2,2,2,30,9,9,9,9,9,9,155768,156041,157356,123271,123831,124070,0
90000,2,2,3,35,7,9,9,9,9,7,63426,57922,55010,52540,56236,40922,1
150000,2,3,2,32,10,10,10,10,10,10,1758,468,2988,2232,4535,0,0
20000,1,1,2,23,8,7,7,6,7,7,9126,8835,11088,10618,10304,11232,1
150000,2,1,3,34,9,9,9,9,9,9,112391,98583,95810,87216,88201,87483,0
180000,1,3,2,34,10,9,10,10,10,10,16953,15884,11153,3889,800,0,0
470000,1,2,2,34,11,11,11,10,10,9,23747,23305,0,1632,141186,143916,0
30000,2,1,2,59,7,7,7,7,7,7,21767,24764,24031,25001,24531,21743,1
20000,2,3,2,22,10,10,7,9,9,10,8266,10377,5529,4482,0,2030,0
400000,2,3,3,36,10,10,10,10,10,10,14421,8392,13025,2816,6856,11069,0
210000,2,3,2,27,9,9,9,9,9,9,15663,8513,8607,9137,10637,3443,0
